# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +6.4329999999999998e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.4679210095791327e-04 -3.4938495867179514e-01 -1.4241085534500671e-03
-1.0000000000000001e-01 +6.4329996403283793e+00 +0.0000000000000000e+00 -9.9999999999137584e-02 +2.4672992038564492e-04 -3.4938494833676798e-01 -1.4240037373687876e-03
-2.0000000000000001e-01 +6.4329985613135321e+00 +0.0000000000000000e+00 -1.9999999999310059e-01 +2.4666801326537097e-04 -3.4938494013598859e-01 -1.4238884443145004e-03
-3.0000000000000004e-01 +6.4329967629554750e+00 +0.0000000000000000e+00 -2.9999999997671450e-01 +2.4660772671584476e-04 -3.4938493125145675e-01 -1.4237634399468894e-03
-4.0000000000000002e-01 +6.4329942452542266e+00 +0.0000000000000000e+00 -3.9999999994480478e-01 +2.4655040784315378e-04 -3.4938491886512291e-01 -1.4236294899425308e-03
-5.0000000000000000e-01 +6.4329910082098136e+00 +0.0000000000000000e+00 -4.9999999989219690e-01 +2.4649740374337340e-04 -3.4938490015890483e-01 -1.4234873599930165e-03
-5.9999999999999998e-01 +6.4329870518222743e+00 +0.0000000000000000e+00 -5.9999999981371621e-01 +2.4645006150522013e-04 -3.4938487231470394e-01 -1.4233378158030657e-03
-6.9999999999999996e-01 +6.4329823760916671e+00 +0.0000000000000000e+00 -6.9999999970418836e-01 +2.4640972821270471e-04 -3.4938483251441949e-01 -1.4231816230886455e-03
-7.9999999999999993e-01 +6.4329769810180757e+00 +0.0000000000000000e+00 -7.9999999955843870e-01 +2.4637775094778588e-04 -3.4938477793996625e-01 -1.4230195475750833e-03
-8.9999999999999991e-01 +6.4329708666016119e+00 +0.0000000000000000e+00 -8.9999999937129260e-01 +2.4635547679302273e-04 -3.4938470577328917e-01 -1.4228523549951909e-03
-9.9999999999999989e-01 +6.4329640328424258e+00 +0.0000000000000000e+00 -9.9999999913757565e-01 +2.4634425283422725e-04 -3.4938461319637959e-01 -1.4226808110873715e-03
-1.0999999999999999e+00 +6.4329564797407084e+00 +0.0000000000000000e+00 -1.0999999988521134e+00 +2.4634486305787637e-04 -3.4938449879766881e-01 -1.4225054306841363e-03
-1.2000000000000000e+00 +6.4329482072966950e+00 +0.0000000000000000e+00 -1.1999999985097312e+00 +2.4635583903632341e-04 -3.4938436679115170e-01 -1.4223257249721939e-03
-1.3000000000000000e+00 +6.4329392155106566e+00 +0.0000000000000000e+00 -1.2999999981052546e+00 +2.4637514924280655e-04 -3.4938422279721282e-01 -1.4221409542006232e-03
-1.4000000000000001e+00 +6.4329295043828889e+00 +0.0000000000000000e+00 -1.3999999976335089e+00 +2.4640076215792610e-04 -3.4938407243624109e-01 -1.4219503785806197e-03
-1.5000000000000002e+00 +6.4329190739137019e+00 +0.0000000000000000e+00 -1.4999999970893199e+00 +2.4643064627121380e-04 -3.4938392132862761e-01 -1.4217532582776224e-03
-1.6000000000000003e+00 +6.4329079241034055e+00 +0.0000000000000000e+00 -1.5999999964675129e+00 +2.4646277008270412e-04 -3.4938377509476432e-01 -1.4215488534034398e-03
-1.7000000000000004e+00 +6.4328960549523009e+00 +0.0000000000000000e+00 -1.6999999957629135e+00 +2.4649510210450384e-04 -3.4938363935504213e-01 -1.4213364240083799e-03
-1.8000000000000005e+00 +6.4328834664606669e+00 +0.0000000000000000e+00 -1.7999999949703474e+00 +2.4652561086236432e-04 -3.4938351972984871e-01 -1.4211152300733743e-03
-1.9000000000000006e+00 +6.4328701586287496e+00 +0.0000000000000000e+00 -1.8999999940846397e+00 +2.4655226489725369e-04 -3.4938342183956761e-01 -1.4208845315021072e-03
-2.0000000000000004e+00 +6.4328561314567505e+00 +0.0000000000000000e+00 -1.9999999931006163e+00 +2.4657303276693016e-04 -3.4938335130457615e-01 -1.4206435881131479e-03
