# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.3581452413334278e-02 +1.1363786277341506e-01 +1.0856851035978217e+00 -3.0279321906862977e+00 -7.1998264334071621e+02 +4.0568441908778732e+04 +2.5960680176648712e+06 
+1.0000000000000001e-01 -5.3581439395306463e-02 +1.1362656678265426e-01 +1.0848474496766654e+00 -2.7680516821359942e+00 -7.2590495565517040e+02 +3.9233595740506877e+04 +2.6681698333736509e+06 
+2.0000000000000001e-01 -5.3581427557696237e-02 +1.1361564391042354e-01 +1.0841668732670109e+00 -2.5270553820436219e+00 -7.3905274712091625e+02 +3.7997167189202664e+04 +2.7878303399235313e+06 
+3.0000000000000004e-01 -5.3581418543426268e-02 +1.1360511765582906e-01 +1.0837135423646289e+00 -2.3035751396834487e+00 -7.5920893542430940e+02 +3.6853882543960412e+04 +2.9495811367216222e+06 
+4.0000000000000002e-01 -5.3581413995420143e-02 +1.1359501151745176e-01 +1.0835576250103995e+00 -2.0962427815032743e+00 -7.8615643620557807e+02 +3.5798467892757646e+04 +3.1479538002054449e+06 
+5.0000000000000000e-01 -5.3581415556603437e-02 +1.1358534899131702e-01 +1.0837692894359421e+00 -1.9036900730234958e+00 -8.1967816756609784e+02 +3.4825649020993900e+04 +3.3774799130468713e+06 
+5.9999999999999998e-01 -5.3581424869905143e-02 +1.1357615356891583e-01 +1.0844187042737596e+00 -1.7245486854635195e+00 -8.5955705618366221e+02 +3.3930151346376610e+04 +3.6326911021521636e+06 
+6.9999999999999996e-01 -5.3581443578264124e-02 +1.1356744873473687e-01 +1.0855760394518175e+00 -1.5574501452024077e+00 -9.0557605637811321e+02 +3.3106699746387945e+04 +3.9081191377443061e+06 
+7.9999999999999993e-01 -5.3581473324621709e-02 +1.1355925796444516e-01 +1.0873114652178870e+00 -1.4010258041662689e+00 -9.5751813312081424e+02 +3.2350018512570412e+04 +4.1982958599486202e+06 
+8.9999999999999991e-01 -5.3581515751931930e-02 +1.1355160472250024e-01 +1.0896951535456285e+00 -1.2539067916097550e+00 -1.0151662912146533e+03 +3.1654831190598059e+04 +4.4977533272034619e+06 
