# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +6.4329999999999998e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
1.0000000000000001e-01 +6.4329996400213725e+00 +0.0000000000000000e+00 +9.9999999999136099e-02 -7.1995721609142148e-06 +0.0000000000000000e+00 +9.9999999997408306e-01
2.0000000000000001e-01 +6.4329985600856281e+00 +0.0000000000000000e+00 +1.9999999999308882e-01 -1.4399142498743017e-05 +0.0000000000000000e+00 +9.9999999989633237e-01
3.0000000000000004e-01 +6.4329967601929052e+00 +0.0000000000000000e+00 +2.9999999997667476e-01 -2.1598711858471145e-05 +0.0000000000000000e+00 +9.9999999976674780e-01
4.0000000000000002e-01 +6.4329942403432634e+00 +0.0000000000000000e+00 +3.9999999994471058e-01 -2.8798281004742510e-05 +0.0000000000000000e+00 +9.9999999958532948e-01
5.0000000000000000e-01 +6.4329910005366884e+00 +0.0000000000000000e+00 +4.9999999989201288e-01 -3.5997850621862228e-05 +0.0000000000000000e+00 +9.9999999935207740e-01
5.9999999999999998e-01 +6.4329870407731029e+00 +0.0000000000000000e+00 +5.9999999981339824e-01 -4.3197421313798316e-05 +0.0000000000000000e+00 +9.9999999906699144e-01
6.9999999999999996e-01 +6.4329823610523720e+00 +0.0000000000000000e+00 +6.9999999970368332e-01 -5.0396993604183051e-05 +0.0000000000000000e+00 +9.9999999873007162e-01
7.9999999999999993e-01 +6.4329769613743135e+00 +0.0000000000000000e+00 +7.9999999955768475e-01 -5.7596567936313967e-05 +0.0000000000000000e+00 +9.9999999834131781e-01
8.9999999999999991e-01 +6.4329708417387046e+00 +0.0000000000000000e+00 +8.9999999937021913e-01 -6.4796144673154486e-05 +0.0000000000000000e+00 +9.9999999790072991e-01
9.9999999999999989e-01 +6.4329640021452894e+00 +0.0000000000000000e+00 +9.9999999913610294e-01 -7.1995724097334262e-05 +0.0000000000000000e+00 +9.9999999740830792e-01
1.0999999999999999e+00 +6.4329564425937891e+00 +0.0000000000000000e+00 +1.0999999988501528e+00 -7.9195306412139493e-05 +0.0000000000000000e+00 +9.9999999686405183e-01
1.2000000000000000e+00 +6.4329481630839060e+00 +0.0000000000000000e+00 +1.1999999985071854e+00 -8.6394891752407133e-05 +0.0000000000000000e+00 +9.9999999626796143e-01
1.3000000000000000e+00 +6.4329391636153348e+00 +0.0000000000000000e+00 +1.2999999981020172e+00 -9.3594480195418976e-05 +0.0000000000000000e+00 +9.9999999562003672e-01
1.4000000000000001e+00 +6.4329294441877627e+00 +0.0000000000000000e+00 +1.3999999976294648e+00 -1.0079407176189161e-04 +0.0000000000000000e+00 +9.9999999492027758e-01
1.5000000000000002e+00 +6.4329190048008789e+00 +0.0000000000000000e+00 +1.4999999970843447e+00 -1.0799366641597570e-04 +0.0000000000000000e+00 +9.9999999416868401e-01
1.6000000000000003e+00 +6.4329078454543795e+00 +0.0000000000000000e+00 +1.5999999964614737e+00 -1.1519326406525510e-04 +0.0000000000000000e+00 +9.9999999336525591e-01
1.7000000000000004e+00 +6.4328959661479708e+00 +0.0000000000000000e+00 +1.6999999957556682e+00 -1.2239286456074567e-04 +0.0000000000000000e+00 +9.9999999250999327e-01
1.8000000000000005e+00 +6.4328833668813790e+00 +0.0000000000000000e+00 +1.7999999949617447e+00 -1.2959246769689387e-04 +0.0000000000000000e+00 +9.9999999160289610e-01
1.9000000000000006e+00 +6.4328700476543519e+00 +0.0000000000000000e+00 +1.8999999940745196e+00 -1.3679207321157518e-04 +0.0000000000000000e+00 +9.9999999064396428e-01
2.0000000000000004e+00 +6.4328560084666675e+00 +0.0000000000000000e+00 +1.9999999930888097e+00 -1.4399168078609216e-04 +0.0000000000000000e+00 +9.9999998963319781e-01
2.1000000000000005e+00 +6.4328412493181384e+00 +0.0000000000000000e+00 +2.0999999919994314e+00 -1.5119129005264465e-04 +0.0000000000000000e+00 +9.9999998857059680e-01
2.2000000000000006e+00 +6.4328257702086118e+00 +0.0000000000000000e+00 +2.1999999908012011e+00 -1.5839090067652192e-04 +0.0000000000000000e+00 +9.9999998745616114e-01
2.3000000000000007e+00 +6.4328095711379651e+00 +0.0000000000000000e+00 +2.2999999894889358e+00 -1.6559051243829597e-04 +0.0000000000000000e+00 +9.9999998628989095e-01
2.4000000000000008e+00 +6.4327926521060901e+00 +0.0000000000000000e+00 +2.3999999880574516e+00 -1.7279012524129301e-04 +0.0000000000000000e+00 +9.9999998507178611e-01
2.5000000000000009e+00 +6.4327750131128818e+00 +0.0000000000000000e+00 +2.4999999865015652e+00 -1.7998973911159292e-04 +0.0000000000000000e+00 +9.9999998380184674e-01
2.6000000000000010e+00 +6.4327566541582275e+00 +0.0000000000000000e+00 +2.5999999848160931e+00 -1.8718935419802878e-04 +0.0000000000000000e+00 +9.9999998248007260e-01
2.7000000000000011e+00 +6.4327375752419931e+00 +0.0000000000000000e+00 +2.6999999829958519e+00 -1.9438897077218617e-04 +0.0000000000000000e+00 +9.9999998110646371e-01
2.8000000000000012e+00 +6.4327177763640107e+00 +0.0000000000000000e+00 +2.7999999810356582e+00 -2.0158858922840269e-04 +0.0000000000000000e+00 +9.9999997968102006e-01
2.9000000000000012e+00 +6.4326972575240680e+00 +0.0000000000000000e+00 +2.8999999789303281e+00 -2.0878821008376734e-04 +0.0000000000000000e+00 +9.9999997820374131e-01
3.0000000000000013e+00 +6.4326760187218932e+00 +0.0000000000000000e+00 +2.9999999766746783e+00 -2.1598783397811997e-04 +0.0000000000000000e+00 +9.9999997667462737e-01
3.1000000000000014e+00 +6.4326540599571462e+00 +0.0000000000000000e+00 +3.0999999742635254e+00 -2.2318746166604973e-04 +0.0000000000000000e+00 +9.9999997509367800e-01
3.2000000000000015e+00 +6.4326313812294078e+00 +0.0000000000000000e+00 +3.1999999716916858e+00 -2.3038709392888282e-04 +0.0000000000000000e+00 +9.9999997346089298e-01
3.3000000000000016e+00 +6.4326079825381841e+00 +0.0000000000000000e+00 +3.2999999689539758e+00 -2.3758673148666854e-04 +0.0000000000000000e+00 +9.9999997177627198e-01
3.4000000000000017e+00 +6.4325838638829120e+00 +0.0000000000000000e+00 +3.3999999660452120e+00 -2.4478637499017426e-04 +0.0000000000000000e+00 +9.9999997003981478e-01
3.5000000000000018e+00 +6.4325590252629681e+00 +0.0000000000000000e+00 +3.4999999629602110e+00 -2.5198602502088103e-04 +0.0000000000000000e+00 +9.9999996825152104e-01
3.6000000000000019e+00 +6.4325334666776728e+00 +0.0000000000000000e+00 +3.5999999596937884e+00 -2.5918568209097918e-04 +0.0000000000000000e+00 +9.9999996641139044e-01
3.7000000000000020e+00 +6.4325071881263005e+00 +0.0000000000000000e+00 +3.6999999562407608e+00 -2.6638534664336349e-04 +0.0000000000000000e+00 +9.9999996451942286e-01
3.8000000000000020e+00 +6.4324801896080830e+00 +0.0000000000000000e+00 +3.7999999525959449e+00 -2.7358501905162813e-04 +0.0000000000000000e+00 +9.9999996257561796e-01
3.9000000000000021e+00 +6.4324524711222182e+00 +0.0000000000000000e+00 +3.8999999487541563e+00 -2.8078469962006133e-04 +0.0000000000000000e+00 +9.9999996057997542e-01
