# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -7.6058523970962733e-01 +1.6209345332825882e+00 +1.3593121640686741e+01 +8.4969419638449111e+00 +1.3132692022103831e+04 +2.2248804537102018e+05 -3.3466945861314878e+07 
+1.0000000000000001e-01 -7.6058512484165863e-01 +1.6208684092911716e+00 +1.3590469976479637e+01 +9.4998192774098751e+00 +1.3209557033701125e+04 +2.1979003618488644e+05 -3.3908781259898178e+07 
+2.0000000000000001e-01 -7.6058502976522169e-01 +1.6208105782553881e+00 +1.3584988582302458e+01 +1.0785464879911547e+01 +1.3352464473540711e+04 +2.1433754581453587e+05 -3.4728841506142840e+07 
+3.0000000000000004e-01 -7.6058495607810328e-01 +1.6207614366356469e+00 +1.3577444665805650e+01 +1.2269330841173133e+01 +1.3546814713467684e+04 +2.0677535529479940e+05 -3.5849936531980425e+07 
+4.0000000000000002e-01 -7.6058490537810097e-01 +1.6207213808898613e+00 +1.3568605427195418e+01 +1.3866869195210000e+01 +1.3778008317887678e+04 +1.9774824674043234e+05 -3.7194877266082026e+07 
+5.0000000000000000e-01 -7.6058487926299356e-01 +1.6206908074628696e+00 +1.3559238058724935e+01 +1.5493532250983657e+01 +1.4031446045088307e+04 +1.8790100122132045e+05 -3.8686475667432383e+07 
+5.9999999999999998e-01 -7.6058487933064922e-01 +1.6206701127897587e+00 +1.3550109759165592e+01 +1.7064772481870875e+01 +1.4292528577178706e+04 +1.7787839912093323e+05 -4.0247543503965646e+07 
+6.9999999999999996e-01 -7.6058490717893246e-01 +1.6206596932911728e+00 +1.3541987725280880e+01 +1.8496042672536412e+01 +1.4546656674322287e+04 +1.6832521894418864e+05 -4.1800893116236210e+07 
+7.9999999999999993e-01 -7.6058496440580137e-01 +1.6206599453746040e+00 +1.3535639166066520e+01 +1.9702795865607882e+01 +1.4779230902244928e+04 +1.5988623736049319e+05 -4.3269336166233510e+07 
+8.9999999999999991e-01 -7.6058505260928433e-01 +1.6206712654266398e+00 +1.3531831302362351e+01 +2.0600485593940469e+01 +1.4975651632998013e+04 +1.5320622750744625e+05 -4.4575683671732180e+07 
+9.9999999999999989e-01 -7.6058517338748977e-01 +1.6206940498142635e+00 +1.3531331369903011e+01 +2.1104565844958149e+01 +1.5121318990694626e+04 +1.4892995888037747e+05 -4.5642745813133247e+07 
+1.0999999999999999e+00 -7.6058532692846326e-01 +1.6207283902177589e+00 +1.3534679858097332e+01 +2.1154492506771945e+01 +1.5204980510240879e+04 +1.4752616286924406e+05 -4.6409445223779850e+07 
+1.2000000000000000e+00 -7.6058550778502343e-01 +1.6207731837664694e+00 +1.3541513574659859e+01 +2.0785473787293618e+01 +1.5228551935326743e+04 +1.4876361090269484e+05 -4.6877565726116516e+07 
+1.3000000000000000e+00 -7.6058570910253620e-01 +1.6208270347946514e+00 +1.3551244235263505e+01 +2.0056603813859436e+01 +1.5197185583285642e+04 +1.5223704771956708e+05 -4.7064210599470958e+07 
+1.4000000000000001e+00 -7.6058592402630176e-01 +1.6208885476634984e+00 +1.3563283546240703e+01 +1.9026976461567923e+01 +1.5116033957928123e+04 +1.5754121808930844e+05 -4.6986483981282249e+07 
