# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +6.4329999999999998e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.6245587068639876e-04 -1.1080302391736352e+00 -4.0633456145745461e-03
1.0000000000000001e-01 +6.4329996387083002e+00 +0.0000000000000000e+00 +9.9999999999129785e-02 +4.6256788184124542e-04 -1.1080308724779326e+00 -4.0637111089311846e-03
2.0000000000000001e-01 +6.4329985548329320e+00 +0.0000000000000000e+00 +1.9999999999303830e-01 +4.6269440813295694e-04 -1.1080314469350883e+00 -4.0640522951041419e-03
3.0000000000000004e-01 +6.4329967483735198e+00 +0.0000000000000000e+00 +2.9999999997650428e-01 +4.6283294835228699e-04 -1.1080319826856855e+00 -4.0643691369471368e-03
4.0000000000000002e-01 +6.4329942193297125e+00 +0.0000000000000000e+00 +3.9999999994430641e-01 +4.6298100128571649e-04 -1.1080324998696165e+00 -4.0646615982969873e-03
5.0000000000000000e-01 +6.4329909677011727e+00 +0.0000000000000000e+00 +4.9999999989122340e-01 +4.6313606570678144e-04 -1.1080330186265179e+00 -4.0649296429786279e-03
5.9999999999999998e-01 +6.4329869934875612e+00 +0.0000000000000000e+00 +5.9999999981203400e-01 +4.6329564036740181e-04 -1.1080335590962123e+00 -4.0651732348101505e-03
6.9999999999999996e-01 +6.4329822966885244e+00 +0.0000000000000000e+00 +6.9999999970151683e-01 +4.6345722398921072e-04 -1.1080341414191437e+00 -4.0653923376078333e-03
7.9999999999999993e-01 +6.4329768773036822e+00 +0.0000000000000000e+00 +7.9999999955445056e-01 +4.6361831525488308e-04 -1.1080347857368196e+00 -4.0655869151911619e-03
8.9999999999999991e-01 +6.4329707353326127e+00 +0.0000000000000000e+00 +8.9999999936561392e-01 +4.6377641279946464e-04 -1.1080355121922445e+00 -4.0657569313878733e-03
9.9999999999999989e-01 +6.4329638707748424e+00 +0.0000000000000000e+00 +9.9999999912978554e-01 +4.6392901520170277e-04 -1.1080363409303646e+00 -4.0659023500389854e-03
1.0999999999999999e+00 +6.4329562836298297e+00 +0.0000000000000000e+00 +1.0999999988417442e+00 +4.6407413005729640e-04 -1.1080372870151891e+00 -4.0660231882552579e-03
1.2000000000000000e+00 +6.4329479738969582e+00 +0.0000000000000000e+00 +1.1999999984962684e+00 +4.6421180124656434e-04 -1.1080383451792206e+00 -4.0661196761712952e-03
1.3000000000000000e+00 +6.4329389415755394e+00 +0.0000000000000000e+00 +1.2999999980881367e+00 +4.6434258174233960e-04 -1.1080395050716279e+00 -4.0661920971853558e-03
1.4000000000000001e+00 +6.4329291866648175e+00 +0.0000000000000000e+00 +1.3999999976121278e+00 +4.6446702454588598e-04 -1.1080407563410579e+00 -4.0662407347083250e-03
1.5000000000000002e+00 +6.4329187091639772e+00 +0.0000000000000000e+00 +1.4999999970630200e+00 +4.6458568269812963e-04 -1.1080420886353752e+00 -4.0662658721652848e-03
1.6000000000000003e+00 +6.4329075090721517e+00 +0.0000000000000000e+00 +1.5999999964355922e+00 +4.6469910929088917e-04 -1.1080434916013946e+00 -4.0662677929970683e-03
1.7000000000000004e+00 +6.4328955863884270e+00 +0.0000000000000000e+00 +1.6999999957246228e+00 +4.6480785747810482e-04 -1.1080449548846210e+00 -4.0662467806618389e-03
1.8000000000000005e+00 +6.4328829411118491e+00 +0.0000000000000000e+00 +1.7999999949248902e+00 +4.6491248048706880e-04 -1.1080464681289828e+00 -4.0662031186366526e-03
1.9000000000000006e+00 +6.4328695732414340e+00 +0.0000000000000000e+00 +1.8999999940311727e+00 +4.6501353162965259e-04 -1.1080480209765713e+00 -4.0661370904190308e-03
2.0000000000000004e+00 +6.4328554827761693e+00 +0.0000000000000000e+00 +1.9999999930382490e+00 +4.6511156431353501e-04 -1.1080496030673741e+00 -4.0660489795285139e-03
2.1000000000000005e+00 +6.4328406697150244e+00 +0.0000000000000000e+00 +2.0999999919408974e+00 +4.6520695915481272e-04 -1.1080512058130378e+00 -4.0659392175907295e-03
2.2000000000000006e+00 +6.4328251340569551e+00 +0.0000000000000000e+00 +2.1999999907338963e+00 +4.6529940522535232e-04 -1.1080528277196797e+00 -4.0658088285804661e-03
2.3000000000000007e+00 +6.4328088758009043e+00 +0.0000000000000000e+00 +2.2999999894120244e+00 +4.6538841863048039e-04 -1.1080544690674479e+00 -4.0656589845642225e-03
2.4000000000000008e+00 +6.4327918949458027e+00 +0.0000000000000000e+00 +2.3999999879700598e+00 +4.6547351537943763e-04 -1.1080561301368155e+00 -4.0654908576156969e-03
2.5000000000000009e+00 +6.4327741914905685e+00 +0.0000000000000000e+00 +2.4999999864027806e+00 +4.6555421137293339e-04 -1.1080578112086619e+00 -4.0653056198152503e-03
2.6000000000000010e+00 +6.4327557654341057e+00 +0.0000000000000000e+00 +2.5999999847049651e+00 +4.6563002239070189e-04 -1.1080595125643602e+00 -4.0651044432493642e-03
2.7000000000000011e+00 +6.4327366167753057e+00 +0.0000000000000000e+00 +2.6999999828713919e+00 +4.6570046407906049e-04 -1.1080612344858576e+00 -4.0648885000101010e-03
2.8000000000000012e+00 +6.4327167455130461e+00 +0.0000000000000000e+00 +2.7999999808968390e+00 +4.6576505193846968e-04 -1.1080629772557642e+00 -4.0646589621945528e-03
2.9000000000000012e+00 +6.4326961516461925e+00 +0.0000000000000000e+00 +2.8999999787760848e+00 +4.6582330131109497e-04 -1.1080647411574343e+00 -4.0644170019042986e-03
3.0000000000000013e+00 +6.4326748351735947e+00 +0.0000000000000000e+00 +2.9999999765039074e+00 +4.6587472736837161e-04 -1.1080665264750515e+00 -4.0641637912448647e-03
3.1000000000000014e+00 +6.4326527960940902e+00 +0.0000000000000000e+00 +3.0999999740750845e+00 +4.6591926434242839e-04 -1.1080683329763839e+00 -4.0639003308254222e-03
3.2000000000000015e+00 +6.4326300344065022e+00 +0.0000000000000000e+00 +3.1999999714843947e+00 +4.6595852336195754e-04 -1.1080701583608290e+00 -4.0636269352492980e-03
3.3000000000000016e+00 +6.4326065501096412e+00 +0.0000000000000000e+00 +3.2999999687266159e+00 +4.6599453492219189e-04 -1.1080719998114144e+00 -4.0633437475958555e-03
3.4000000000000017e+00 +6.4325823432023084e+00 +0.0000000000000000e+00 +3.3999999657965265e+00 +4.6602932968302640e-04 -1.1080738545121922e+00 -4.0630509109155699e-03
3.5000000000000018e+00 +6.4325574136832948e+00 +0.0000000000000000e+00 +3.4999999626889045e+00 +4.6606493848407276e-04 -1.1080757196483138e+00 -4.0627485682273061e-03
3.6000000000000019e+00 +6.4325317615513864e+00 +0.0000000000000000e+00 +3.5999999593985272e+00 +4.6610339235971340e-04 -1.1080775924061028e+00 -4.0624368625155772e-03
3.7000000000000020e+00 +6.4325053868053628e+00 +0.0000000000000000e+00 +3.6999999559201733e+00 +4.6614672255415081e-04 -1.1080794699731307e+00 -4.0621159367278262e-03
3.8000000000000020e+00 +6.4324782894440009e+00 +0.0000000000000000e+00 +3.7999999522486205e+00 +4.6619696053645766e-04 -1.1080813495382886e+00 -4.0617859337717067e-03
3.9000000000000021e+00 +6.4324504694660769e+00 +0.0000000000000000e+00 +3.8999999483786469e+00 +4.6625613801562081e-04 -1.1080832282918645e+00 -4.0614469965123481e-03
4.0000000000000018e+00 +6.4324219268703677e+00 +0.0000000000000000e+00 +3.9999999443050305e+00 +4.6632628695558503e-04 -1.1080851034256132e+00 -4.0610992677696340e-03
4.1000000000000014e+00 +6.4323926616556513e+00 +0.0000000000000000e+00 +4.0999999400225491e+00 +4.6640886403916278e-04 -1.1080869737635441e+00 -4.0607429361476299e-03
4.2000000000000011e+00 +6.4323626738207098e+00 +0.0000000000000000e+00 +4.1999999355259803e+00 +4.6650302392375350e-04 -1.1080888446537356e+00 -4.0603783735620848e-03
4.3000000000000007e+00 +6.4323319633643239e+00 +0.0000000000000000e+00 +4.2999999308101016e+00 +4.6660734572474605e-04 -1.1080907230755215e+00 -4.0600059978023132e-03
4.4000000000000004e+00 +6.4323005302852696e+00 +0.0000000000000000e+00 +4.3999999258696914e+00 +4.6672040854058049e-04 -1.1080926160086846e+00 -4.0596262267102515e-03
4.5000000000000000e+00 +6.4322683745823142e+00 +0.0000000000000000e+00 +4.4999999206995271e+00 +4.6684079144935689e-04 -1.1080945304334526e+00 -4.0592394781837722e-03
4.5999999999999996e+00 +6.4322354962542105e+00 +0.0000000000000000e+00 +4.5999999152943873e+00 +4.6696707350544358e-04 -1.1080964733305037e+00 -4.0588461701799800e-03
4.6999999999999993e+00 +6.4322018952996922e+00 +0.0000000000000000e+00 +4.6999999096490486e+00 +4.6709783373608807e-04 -1.1080984516809627e+00 -4.0584467207185138e-03
4.7999999999999989e+00 +6.4321675717174713e+00 +0.0000000000000000e+00 +4.7999999037582892e+00 +4.6723165113802769e-04 -1.1081004724664067e+00 -4.0580415478848574e-03
4.8999999999999986e+00 +6.4321325255062316e+00 +0.0000000000000000e+00 +4.8999998976168868e+00 +4.6736710467409887e-04 -1.1081025426688631e+00 -4.0576310698336180e-03
4.9999999999999982e+00 +6.4320967566646239e+00 +0.0000000000000000e+00 +4.9999998912196189e+00 +4.6750277326985018e-04 -1.1081046692708136e+00 -4.0572157047918537e-03
5.0999999999999979e+00 +6.4320602651912626e+00 +0.0000000000000000e+00 +5.0999998845612629e+00 +4.6763730904377611e-04 -1.1081068569540848e+00 -4.0567958628054106e-03
5.1999999999999975e+00 +6.4320230510847241e+00 +0.0000000000000000e+00 +5.1999998776365963e+00 +4.6776965692711669e-04 -1.1081091011947872e+00 -4.0563719209064306e-03
5.2999999999999972e+00 +6.4319851143435463e+00 +0.0000000000000000e+00 +5.2999998704403968e+00 +4.6789883481636465e-04 -1.1081113951635757e+00 -4.0559442477697983e-03
5.3999999999999968e+00 +6.4319464549662362e+00 +0.0000000000000000e+00 +5.3999998629674417e+00 +4.6802386030524331e-04 -1.1081137320261099e+00 -4.0555132119482447e-03
5.4999999999999964e+00 +6.4319070729512724e+00 +0.0000000000000000e+00 +5.4999998552125087e+00 +4.6814375066987584e-04 -1.1081161049428085e+00 -4.0550791818662222e-03
5.5999999999999961e+00 +6.4318669682971095e+00 +0.0000000000000000e+00 +5.5999998471703742e+00 +4.6825752285395412e-04 -1.1081185070686046e+00 -4.0546425258137951e-03
5.6999999999999957e+00 +6.4318261410021833e+00 +0.0000000000000000e+00 +5.6999998388358160e+00 +4.6836419345390885e-04 -1.1081209315526932e+00 -4.0542036119405045e-03
5.7999999999999954e+00 +6.4317845910649156e+00 +0.0000000000000000e+00 +5.7999998302036113e+00 +4.6846277870408163e-04 -1.1081233715382903e+00 -4.0537628082492521e-03
5.8999999999999950e+00 +6.4317423184837175e+00 +0.0000000000000000e+00 +5.8999998212685378e+00 +4.6855229446189807e-04 -1.1081258201623816e+00 -4.0533204825901796e-03
5.9999999999999947e+00 +6.4316993232569946e+00 +0.0000000000000000e+00 +5.9999998120253721e+00 +4.6863175619304271e-04 -1.1081282705554762e+00 -4.0528770026545509e-03
