# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -8.4502916145138007e-01 +1.8045152512405260e+00 +1.6562774974575479e+01 +3.6780228204744375e+01 +3.5164579406618268e+03 -7.0309449404147002e+04 -1.6407581820949929e+07 
+1.0000000000000001e-01 -8.4502937051435101e-01 +1.8044093768145435e+00 +1.6577259210727728e+01 +3.8926158528944356e+01 +3.3263628092837821e+03 -7.7858978749337228e+04 -1.5669635023885973e+07 
+2.0000000000000001e-01 -8.4502960024583340e-01 +1.8042895742479754e+00 +1.6597025111044111e+01 +4.1353946467263178e+01 +3.0508185558596401e+03 -8.7108668444595038e+04 -1.4632560540159294e+07 
+3.0000000000000004e-01 -8.4502984143181081e-01 +1.8041620300066601e+00 +1.6620814157657286e+01 +4.3927996578389781e+01 +2.7120392916679052e+03 -9.7383449266570271e+04 -1.3388825075108580e+07 
+4.0000000000000002e-01 -8.4503008485820419e-01 +1.8040329305283704e+00 +1.6647367824180417e+01 +4.6512714318695821e+01 +2.3322393190439288e+03 -1.0800825653438500e+05 -1.2030896315900188e+07 
+5.0000000000000000e-01 -8.4503032131101175e-01 +1.8039084622283093e+00 +1.6675427591252500e+01 +4.8972505882987207e+01 +1.9336328496895210e+03 -1.1830802951045778e+05 -1.0651241619619435e+07 
+5.9999999999999998e-01 -8.4503054157630486e-01 +1.8037948115128641e+00 +1.6703734944965746e+01 +5.1171777777743827e+01 +1.5384340413909879e+03 -1.2760770915112073e+05 -9.3423281938171964e+06 
+6.9999999999999996e-01 -8.4503073644037696e-01 +1.8036981647918531e+00 +1.6731031393679395e+01 +5.2974936437877361e+01 +1.1688566915332617e+03 -1.3523223610732172e+05 -8.1966216636117613e+06 
+7.9999999999999993e-01 -8.4503089668974340e-01 +1.8036247084837231e+00 +1.6756058466508367e+01 +5.4246388068595138e+01 +8.4711427678702603e+02 -1.4050655010187457e+05 -7.3065862799335234e+06 
+8.9999999999999991e-01 -8.4503101311122419e-01 +1.8035806290295071e+00 +1.6777557722448314e+01 +5.4850538206604192e+01 +5.9541978646867926e+02 -1.4275558759564080e+05 -6.7646841319275461e+06 
+9.9999999999999989e-01 -8.4503107649199305e-01 +1.8035721128996915e+00 +1.6794270754932974e+01 +5.4651791502213278e+01 +4.3598564973369986e+02 -1.4130428077770633e+05 -6.6633748302910887e+06 
+1.0999999999999999e+00 -8.4503108075801237e-01 +1.8036030403480297e+00 +1.6805267722147402e+01 +5.3566352867060388e+01 +3.8429880868279474e+02 -1.3572461646442849e+05 -7.0628894206572613e+06 
+1.2000000000000000e+00 -8.4503103239149036e-01 +1.8036680194379420e+00 +1.6810953253245227e+01 +5.1719290341810932e+01 +4.2848948293559158e+02 -1.2658537790390394e+05 -7.8923727134606522e+06 
+1.3000000000000000e+00 -8.4503094101441434e-01 +1.8037593281100692e+00 +1.6812070724291569e+01 +4.9288309582111900e+01 +5.4973318319399505e+02 -1.1470671996505531e+05 -9.0476458920078054e+06 
